NAMESPACE                      NAME                                                              READY   STATUS             RESTARTS          AGE    IP                NODE          NOMINATED NODE   READINESS GATES
ai-gallery                     ai-gallery-99dcfdc7b-srzbg                                        1/1     Running            4 (53d ago)       271d   10.244.3.227      csco-k8s-04   <none>           <none>
ai-serving                     foundation-instruct-vllm-7768dbb67-z6rrr                          1/1     Running            0                 42h    10.244.3.196      csco-k8s-04   <none>           <none>
ai-serving                     qwen3-14b-pd-0-frontend-2bvbr                                     1/1     Running            0                 42h    10.244.2.94       csco-k8s-03   <none>           <none>
ai-serving                     qwen3-14b-pd-0-vllmdecodeworker-m6hvx                             1/1     Running            0                 21h    192.168.160.112   csco-k8s-02   <none>           <none>
ai-serving                     qwen3-14b-pd-0-vllmprefillworker-98f5n                            1/1     Running            0                 21h    192.168.160.111   csco-k8s-01   <none>           <none>
aidc                           aidc-adapter-867dd456c5-nx6wf                                     1/1     Running            6 (80d ago)       341d   10.244.2.29       csco-k8s-03   <none>           <none>
aidc                           aidc-apiserver-54d5ff5ffd-gk28h                                   1/1     Running            9 (80d ago)       342d   10.244.2.135      csco-k8s-03   <none>           <none>
aidc                           aidc-clickhouse-d96777c44-4mjjs                                   1/1     Running            6 (80d ago)       341d   10.244.2.149      csco-k8s-03   <none>           <none>
aidc                           aidc-database-85b9559cd5-9ns4n                                    1/1     Running            6 (80d ago)       348d   10.244.2.215      csco-k8s-03   <none>           <none>
aidc                           aidc-grafana-7fcdd4769d-kwngl                                     1/1     Running            6 (80d ago)       343d   10.244.2.137      csco-k8s-03   <none>           <none>
aidc                           aidc-kafka-5666885785-lm8v4                                       1/1     Running            7 (80d ago)       341d   10.244.2.193      csco-k8s-03   <none>           <none>
aidc                           aidc-redis-c459bd6b6-n6sxv                                        1/1     Running            6 (80d ago)       348d   10.244.2.107      csco-k8s-03   <none>           <none>
aidc                           aidc-webserver-756bd567f9-q5bdk                                   1/1     Running            6 (80d ago)       341d   10.244.2.159      csco-k8s-03   <none>           <none>
cisco-aiops                    cisco-security-aiops                                              1/1     Running            2 (80d ago)       175d   10.244.0.104      csco-k8s-01   <none>           <none>
comfyui                        comfyui-965b7858d-gpzdw                                           2/2     Running            0                 66d    10.244.2.31       csco-k8s-03   <none>           <none>
comfyui                        comfyui-caddy-auth-79c5677c48-kwwj4                               1/1     Running            50 (6d18h ago)    47d    10.244.3.28       csco-k8s-04   <none>           <none>
default                        dify-dify-api-9dd7c4bd7-24qrp                                     1/1     Running            6 (80d ago)       400d   10.244.0.212      csco-k8s-01   <none>           <none>
default                        dify-dify-sandbox-5bb57c8ff8-fglh2                                1/1     Running            6 (80d ago)       400d   10.244.0.52       csco-k8s-01   <none>           <none>
default                        dify-dify-web-68d4cff485-gcw8z                                    1/1     Running            6 (80d ago)       400d   10.244.0.24       csco-k8s-01   <none>           <none>
default                        dify-dify-worker-7957f957f-nz4m4                                  1/1     Running            6 (80d ago)       400d   10.244.0.87       csco-k8s-01   <none>           <none>
default                        dify-gr2fb186-0                                                   1/1     Running            5 (53d ago)       369d   10.244.3.148      csco-k8s-04   <none>           <none>
default                        dify-nginx-5cd64668fd-5lfkz                                       1/1     Running            5 (53d ago)       250d   10.244.3.51       csco-k8s-04   <none>           <none>
